,hsk,hex,hanzi,pinyin,translation
2848,6,"['0x4ece', '0x5bb9', '0x4e0d', '0x8feb']",从容不迫,cóng róng bù pò,"calm, unruffled,"
2849,6,"['0x51d1', '0x5408']",凑合,còu he,"to bring together, to make do in a bad situation, to just get by, to improvise, passable, not too bad,"
2850,6,"['0x7c97', '0x9c81']",粗鲁,cū lǔ,"crude, coarse, rough,"
2851,6,['0x7a9c'],窜,cuàn,"to flee, to scuttle, to exile or banish, to amend or edit,"
2852,6,"['0x6467', '0x6b8b']",摧残,cuī cán,"to ravage, to ruin,"
2853,6,"['0x8106', '0x5f31']",脆弱,cuì ruò,"weak, frail,"
2854,6,['0x6413'],搓,cuō,"to rub or roll between the hands or fingers, to twist,"
2855,6,"['0x78cb', '0x5546']",磋商,cuō shāng,"to consult, to discuss seriously, to negotiate, to confer, negotiations, consultations,"
2856,6,"['0x632b', '0x6298']",挫折,cuò zhé,"setback, reverse, check, defeat, frustration, disappointment, to frustrate, to discourage, to set sb back, to blunt, to subdue,"
2857,6,['0x642d'],搭,dā,"to put up, to build (scaffolding), to hang (clothes on a pole), to connect, to join, to arrange in pairs, to match, to add, to throw in (resources), to take (boat, train),"
2858,6,"['0x642d', '0x6863']",搭档,dā dàng,"to cooperate, partner,"
2859,6,"['0x642d', '0x914d']",搭配,dā pèi,"to pair up, to match, to arrange in pairs, to add sth into a group,"
2860,6,"['0x7b54', '0x8fa9']",答辩,dá biàn,"to reply (to an accusation), to defend one's dissertation,"
2861,6,"['0x7b54', '0x590d']",答复,dá fù,"to answer, to reply, Reply to: (in email header),"
2862,6,"['0x8fbe', '0x6210']",达成,dá chéng,"to reach (an agreement), to accomplish,"
2863,6,"['0x6253', '0x5305']",打包,dǎ bāo,"to wrap, to pack, to ask for a doggy bag (at a restaurant),"
2864,6,"['0x6253', '0x5b98', '0x53f8']",打官司,dǎ guān si,"to file a lawsuit, to sue, to dispute,"
2865,6,"['0x6253', '0x51fb']",打击,dǎ jī,"to hit, to strike, to attack, to crack down on sth, a setback, a blow, percussion (music),"
2866,6,"['0x6253', '0x67b6']",打架,dǎ jià,"to fight, to scuffle, to come to blows, CL:場|场[cháng],"
2867,6,"['0x6253', '0x91cf']",打量,dǎ liang,"to size sb up, to take measure of, to suppose, to reckon,"
2868,6,"['0x6253', '0x730e']",打猎,dǎ liè,"to go hunting,"
2869,6,"['0x6253', '0x4ed7']",打仗,dǎ zhàng,"to fight a battle, to go to war,"
2870,6,"['0x5927', '0x4e0d', '0x4e86']",大不了,dà bù liǎo,"at worst, if worst comes to worst, serious, alarming,"
2871,6,"['0x5927', '0x81e3']",大臣,dà chén,"chancellor (of a monarchy), cabinet minister,"
2872,6,"['0x5927', '0x4f19', '0x513f']",大伙儿,dà huǒ r,"erhua variant of 大伙[dà huǒ],"
2873,6,"['0x5927', '0x53a6']",大厦,dà shà,"large building, edifice, mansion, CL:座[zuò],"
2874,6,"['0x5927', '0x8086']",大肆,dà sì,"wantonly, without restraint (of enemy or malefactor), unbridled,"
2875,6,"['0x5927', '0x4f53']",大体,dà tǐ,"in general, more or less, in rough terms, basically, on the whole,"
2876,6,"['0x5927', '0x610f']",大意,dà yi,"careless,"
2877,6,"['0x5927', '0x81f4']",大致,dà zhì,"more or less, roughly, approximately,"
2878,6,"['0x6b79', '0x5f92']",歹徒,dǎi tú,"evil-doer, malefactor, gangster, hoodlum,"
2879,6,"['0x5e26', '0x9886']",带领,dài lǐng,"to guide, to lead,"
2880,6,"['0x4ee3', '0x4ef7']",代价,dài jià,"price, cost, consideration (in share dealing),"
2881,6,"['0x4ee3', '0x7406']",代理,dài lǐ,"to act on behalf of sb in a responsible position, to act as an agent or proxy, surrogate,"
2882,6,"['0x902e', '0x6355']",逮捕,dài bǔ,"to arrest, to apprehend, an arrest,"
2883,6,"['0x6020', '0x6162']",怠慢,dài màn,"to slight, to neglect,"
2884,6,"['0x62c5', '0x4fdd']",担保,dān bǎo,"to guarantee, to vouch for,"
2885,6,"['0x80c6', '0x602f']",胆怯,dǎn qiè,"timid, cowardly,"
2886,6,"['0x6de1', '0x5b63']",淡季,dàn jì,"off season, slow business season, see also 旺季[wàng jì],"
2887,6,"['0x6de1', '0x6c34']",淡水,dàn shuǐ,"potable water (water with low salt content), fresh water,"
2888,6,"['0x86cb', '0x767d', '0x8d28']",蛋白质,dàn bái zhì,"protein,"
2889,6,"['0x8bde', '0x8fb0']",诞辰,dàn chén,"birthday,"
2890,6,"['0x8bde', '0x751f']",诞生,dàn shēng,"to be born,"
2891,6,"['0x5f53', '0x573a']",当场,dāng chǎng,"at the scene, on the spot,"
2892,6,"['0x5f53', '0x521d']",当初,dāng chū,"at that time, originally,"
2893,6,"['0x5f53', '0x9762']",当面,dāng miàn,"to sb's face, in sb's presence,"
2894,6,"['0x5f53', '0x524d']",当前,dāng qián,"current, today's, modern, present, to be facing (us),"
2895,6,"['0x5f53', '0x4e8b', '0x4eba']",当事人,dāng shì rén,"persons involved or implicated, party (to an affair),"
2896,6,"['0x5f53', '0x52a1', '0x4e4b', '0x6025']",当务之急,dāng wù zhī jí,"top priority job, matter of vital importance,"
2897,6,"['0x5f53', '0x5fc3']",当心,dāng xīn,"to take care, to look out,"
2898,6,"['0x5f53', '0x9009']",当选,dāng xuǎn,"to be elected,"
2899,6,['0x515a'],党,dǎng,"party, association, club, society, CL:個|个[gè],"
2900,6,"['0x6863', '0x6848']",档案,dàng àn,"file, record, archive,"
2901,6,"['0x6863', '0x6b21']",档次,dàng cì,"grade, class, quality, level,"
2902,6,"['0x5c9b', '0x5c7f']",岛屿,dǎo yǔ,"island,"
2903,6,"['0x5012', '0x95ed']",倒闭,dǎo bì,"to go bankrupt, to close down,"
2904,6,"['0x5bfc', '0x5f39']",导弹,dǎo dàn,"guided missile, cruise missile, missile, CL:枚[méi],"
2905,6,"['0x5bfc', '0x822a']",导航,dǎo háng,"navigation,"
2906,6,"['0x5bfc', '0x5411']",导向,dǎo xiàng,"to be oriented towards, orientation,"
2907,6,"['0x6363', '0x4e71']",捣乱,dǎo luàn,"to disturb, to look for trouble, to stir up a row, to bother sb intentionally,"
2908,6,"['0x7a3b', '0x8c37']",稻谷,dào gǔ,"rice crops,"
2909,6,"['0x76d7', '0x7a83']",盗窃,dào qiè,"to steal,"
2910,6,"['0x5f97', '0x4e0d', '0x507f', '0x5931']",得不偿失,dé bù cháng shī,"(saying) the gains do not make up for the losses,"
2911,6,"['0x5f97', '0x529b']",得力,dé lì,"able, capable, competent, efficient,"
2912,6,"['0x5f97', '0x5929', '0x72ec', '0x539a']",得天独厚,dé tiān dú hòu,"(of an area) rich in resources, (of a person) gifted or able (idiom),"
2913,6,"['0x5f97', '0x7f6a']",得罪,dé zuì,"to commit an offense, to violate the law, excuse me! (formal), see also 得罪[dé zui],"
2914,6,['0x8e6c'],蹬,dēng,"to step on, to tread on, to wear, Taiwan pr. [dèng],"
2915,6,"['0x706f', '0x7b3c']",灯笼,dēng lóng,"lantern,"
2916,6,"['0x767b', '0x9646']",登陆,dēng lù,"to land, to come ashore, to make landfall (of typhoon etc), to log in,"
2917,6,"['0x767b', '0x5f55']",登录,dēng lù,"to register, to log in,"
2918,6,"['0x7b49', '0x7ea7']",等级,děng jí,"grade, rank, status,"
2919,6,['0x77aa'],瞪,dèng,"to open (one's eyes) wide, to stare at, to glare at,"
2920,6,"['0x5824', '0x575d']",堤坝,dī bà,"dam,"
2921,6,"['0x654c', '0x89c6']",敌视,dí shì,"hostile, malevolence, antagonism, to view as enemy, to stand against,"
2922,6,"['0x62b5', '0x8fbe']",抵达,dǐ dá,"to arrive, to reach (a destination),"
2923,6,"['0x62b5', '0x6297']",抵抗,dǐ kàng,"to resist, resistance,"
2924,6,"['0x62b5', '0x5236']",抵制,dǐ zhì,"to resist, to boycott, to refuse (to cooperate), to reject, resistance, refusal,"
2925,6,"['0x9012', '0x589e']",递增,dì zēng,"to increase by degrees, in increasing order, incremental, progressive,"
2926,6,"['0x5730', '0x6b65']",地步,dì bù,"condition, situation, plight, extent, room for action,"
2927,6,"['0x5730', '0x52bf']",地势,dì shì,"terrain, topography relief,"
2928,6,"['0x5730', '0x8d28']",地质,dì zhì,"geology,"
2929,6,"['0x98a0', '0x7c38']",颠簸,diān bǒ,"to shake, to jolt, to bump,"
2930,6,"['0x98a0', '0x5012']",颠倒,diān dǎo,"to turn upside-down, to reverse, back-to-front, confused, deranged, crazy,"
2931,6,"['0x70b9', '0x7f00']",点缀,diǎn zhuì,"to decorate, to adorn, sprinkled, studded, only for show,"
2932,6,"['0x5178', '0x793c']",典礼,diǎn lǐ,"celebration, ceremony,"
2933,6,"['0x5178', '0x578b']",典型,diǎn xíng,"model, typical case, archetype, typical, representative,"
2934,6,['0x57ab'],垫,diàn,"pad, cushion, mat, to pad out, to fill a gap, to pay for sb, to advance (money),"
2935,6,"['0x7535', '0x6e90']",电源,diàn yuán,"electric power source,"
2936,6,"['0x5960', '0x5b9a']",奠定,diàn dìng,"to establish, to fix, to settle,"
2937,6,"['0x60e6', '0x8bb0']",惦记,diàn jì,"to think of, to keep thinking about, to be concerned about,"
2938,6,['0x53fc'],叼,diāo,"to hold in the mouth,"
2939,6,"['0x96d5', '0x523b']",雕刻,diāo kè,"to carve, to engrave, carving,"
2940,6,"['0x96d5', '0x5851']",雕塑,diāo sù,"a statue, a Buddhist image, sculpture, to carve,"
2941,6,['0x540a'],吊,diào,"a string of 100 cash (arch.), to lament, to condole with,"
2942,6,"['0x8c03', '0x52a8']",调动,diào dòng,"to transfer, to maneuver (troops etc), to mobilize, to bring into play,"
2943,6,['0x8dcc'],跌,diē,"to drop, to fall, to tumble, Taiwan pr. [dié],"
2944,6,['0x76ef'],盯,dīng,"to watch attentively, to fix attention on, to stare, to gaze, to follow, to shadow sb,"
2945,6,"['0x53ee', '0x5631']",叮嘱,dīng zhǔ,"to warn repeatedly, to urge, to exhort again and again,"
2946,6,"['0x5b9a', '0x671f']",定期,dìng qī,"regularly, at regular intervals,"
2947,6,"['0x5b9a', '0x4e49']",定义,dìng yì,"definition,"
2948,6,"['0x4e22', '0x4eba']",丢人,diū rén,"to lose face,"
2949,6,"['0x4e22', '0x4e09', '0x843d', '0x56db']",丢三落四,diū sān là sì,"forgetful, empty-headed,"
2950,6,"['0x4e1c', '0x9053', '0x4e3b']",东道主,dōng dào zhǔ,"host, official host (e.g. venue for games or a conference),"
2951,6,"['0x4e1c', '0x5f20', '0x897f', '0x671b']",东张西望,dōng zhāng xī wàng,"to look in all directions (idiom), to glance around,"
2952,6,"['0x8463', '0x4e8b', '0x957f']",董事长,dǒng shì zhǎng,"chairman of the board, chairman,"
2953,6,['0x680b'],栋,dòng,"classifier for houses or buildings, ridgepole (old),"
2954,6,"['0x51bb', '0x7ed3']",冻结,dòng jié,"to freeze (loan, wage, price etc),"
2955,6,"['0x6d1e', '0x7a74']",洞穴,dòng xué,"cave, cavern,"
2956,6,"['0x52a8', '0x8361']",动荡,dòng dàng,"unrest (social or political), turmoil, upheaval, commotion,"
2957,6,"['0x52a8', '0x673a']",动机,dòng jī,"motor, locomotive, motive, motivation, intention,"
2958,6,"['0x52a8', '0x9759']",动静,dòng jìng,"sound of activity or people talking, news of activity,"
2959,6,"['0x52a8', '0x529b']",动力,dòng lì,"power, motion, propulsion, force,"
2960,6,"['0x52a8', '0x8109']",动脉,dòng mài,"artery,"
2961,6,"['0x52a8', '0x8eab']",动身,dòng shēn,"to go on a journey, to leave,"
2962,6,"['0x52a8', '0x624b']",动手,dòng shǒu,"to set about (a task), to hit, to punch, to touch,"
2963,6,"['0x52a8', '0x6001']",动态,dòng tài,"development, trend, dynamic state, movement, moving,"
2964,6,"['0x52a8', '0x5458']",动员,dòng yuán,"to mobilize, to arouse, mobilization, CL:次,個|个[gè],"
2965,6,['0x515c'],兜,dōu,"pocket, bag, to wrap up or hold in a bag, to move in a circle, to canvas or solicit, to take responsibility for, to disclose in detail, combat armor (old),"
2966,6,"['0x9661', '0x5ced']",陡峭,dǒu qiào,"precipitous,"
2967,6,"['0x6597', '0x4e89']",斗争,dòu zhēng,"a struggle, fight, battle,"
2968,6,"['0x7763', '0x4fc3']",督促,dū cù,"to supervise and urge completion of a task, to urge on,"
2969,6,"['0x90fd', '0x5e02']",都市,dū shì,"city, metropolis,"
2970,6,"['0x72ec', '0x88c1']",独裁,dú cái,"dictatorship,"
2971,6,"['0x6bd2', '0x54c1']",毒品,dú pǐn,"drugs, narcotics, poison,"
2972,6,"['0x8d4c', '0x535a']",赌博,dǔ bó,"to gamble,"
2973,6,"['0x5835', '0x585e']",堵塞,dǔ sè,"to block, to stop, blockage,"
2974,6,"['0x675c', '0x7edd']",杜绝,dù jué,"to put an end to,"
2975,6,['0x7aef'],端,duān,"end, extremity, item, port, to hold sth level with both hands, to carry, regular,"
2976,6,"['0x7aef', '0x5348', '0x8282']",端午节,Duān wǔ jié,"the Dragon Boat Festival (5th day of the 5th lunar month),"
2977,6,"['0x7aef', '0x6b63']",端正,duān zhèng,"upright, regular, proper, correct,"
2978,6,"['0x77ed', '0x4fc3']",短促,duǎn cù,"short in time, fleeting, brief,"
2979,6,"['0x65ad', '0x5b9a']",断定,duàn dìng,"to conclude, to determine, to come to a judgment,"
2980,6,"['0x65ad', '0x65ad', '0x7eed', '0x7eed']",断断续续,duàn duàn xù xù,"intermittent, off and on, discontinuous, stop-go, stammering, disjointed, inarticulate,"
2981,6,"['0x65ad', '0x7edd']",断绝,duàn jué,"to sever, to break off,"
2982,6,"['0x5806', '0x79ef']",堆积,duī jī,"to pile up, to heap, accumulation,"
2983,6,"['0x5bf9', '0x7b56']",对策,duì cè,"countermeasure for dealing with a situation,"
2984,6,"['0x5bf9', '0x79f0']",对称,duì chèn,"symmetry, symmetrical,"
2985,6,"['0x5bf9', '0x4ed8']",对付,duì fu,"to handle, to deal with, to cope, to get by with,"
2986,6,"['0x5bf9', '0x6297']",对抗,duì kàng,"to withstand, to resist, to stand off, antagonism, confrontation,"
2987,6,"['0x5bf9', '0x7acb']",对立,duì lì,"to oppose, to set sth against, to be antagonistic to, antithetical, relative opposite, opposing, diametrical,"
2988,6,"['0x5bf9', '0x8054']",对联,duì lián,"rhyming couplet, pair of lines of verse written vertically down the sides of a doorway, CL:幅[fú],"
2989,6,"['0x5bf9', '0x5e94']",对应,duì yìng,"to correspond, a correspondence, corresponding, homologous, matching with sth, counterpart,"
2990,6,"['0x5bf9', '0x7167']",对照,duì zhào,"to contrast, to compare, to place side by side for comparison (as parallel texts), to check,"
2991,6,"['0x5151', '0x6362']",兑换,duì huàn,"to convert, to exchange,"
2992,6,"['0x5151', '0x73b0']",兑现,duì xiàn,"(of a cheque etc) to cash, to honor a commitment,"
2993,6,"['0x961f', '0x4f0d']",队伍,duì wǔ,"ranks, troops, CL:個|个[gè],"
2994,6,"['0x987f', '0x65f6']",顿时,dùn shí,"immediately, suddenly,"
2995,6,"['0x591a', '0x5143', '0x5316']",多元化,duō yuán huà,"diversification, pluralism, to diversify,"
2996,6,"['0x54c6', '0x55e6']",哆嗦,duō suo,"to tremble, to shiver, uncontrolled shaking of the body,"
2997,6,"['0x5815', '0x843d']",堕落,duò luò,"to morally degenerate, to become depraved, a fall from grace, a fall into sin or depravity,"
2998,6,"['0x989d', '0x5916']",额外,é wài,"extra, added, additional,"
2999,6,"['0x6076', '0x5fc3']",恶心,è xīn,"bad habit, vicious habit, vice,"
3000,6,"['0x6076', '0x5316']",恶化,è huà,"to worsen,"
3001,6,"['0x904f', '0x5236']",遏制,è zhì,"to check, to contain, to hold back, to keep within limits, to constrain, to restrain,"
3002,6,"['0x6069', '0x6028']",恩怨,ēn yuàn,"(feeling of) resentment, (longstanding) grudge,"
3003,6,"['0x800c', '0x5df2']",而已,ér yǐ,"that's all, nothing more,"
3004,6,"['0x8033', '0x73af']",耳环,ěr huán,"earring, CL:隻|只,對|对[duì],"
3005,6,"['0x4e8c', '0x6c27', '0x5316', '0x78b3']",二氧化碳,èr yǎng huà tàn,"carbon dioxide CO2,"
3006,6,"['0x53d1', '0x5e03']",发布,fā bù,"to release, to issue, to announce, to distribute,"
3007,6,"['0x53d1', '0x8d22']",发财,fā cái,"to get rich,"
3008,6,"['0x53d1', '0x5446']",发呆,fā dāi,"to stare blankly, to be stunned, to be lost in thought,"
3009,6,"['0x53d1', '0x52a8']",发动,fā dòng,"to start, to launch, to unleash, to mobilize, to arouse,"
3010,6,"['0x53d1', '0x706b']",发火,fā huǒ,"to catch fire, to ignite, to detonate, to get angry,"
3011,6,"['0x53d1', '0x89c9']",发觉,fā jué,"to find, to detect, to discover,"
3012,6,"['0x53d1', '0x5c04']",发射,fā shè,"to shoot (a projectile), to fire (a rocket), to launch, to emit (a particle), to discharge, emanation, emission,"
3013,6,"['0x53d1', '0x8a93']",发誓,fā shì,"to vow, to pledge, to swear,"
3014,6,"['0x53d1', '0x884c']",发行,fā xíng,"to publish, to issue (stocks, currency etc), to release, to distribute (a film),"
3015,6,"['0x53d1', '0x708e']",发炎,fā yán,"to become inflamed, inflammation,"
3016,6,"['0x53d1', '0x626c']",发扬,fā yáng,"to develop, to make full use of,"
3017,6,"['0x53d1', '0x80b2']",发育,fā yù,"to develop, growth, development,"
3018,6,"['0x6cd5', '0x4eba']",法人,fǎ rén,"legal person, corporation, see also 自然人[zì rán rén],"
3019,6,['0x756a'],番,fān,"foreign, ethnic groups from outside China, (when used after a verb) times or fold, classifier for the number of iterations of an action or deed etc,"
3020,6,"['0x7e41', '0x534e']",繁华,fán huá,"flourishing, bustling,"
3021,6,"['0x7e41', '0x5fd9']",繁忙,fán máng,"busy, bustling,"
3022,6,"['0x7e41', '0x4f53', '0x5b57']",繁体字,fán tǐ zì,"traditional Chinese character,"
3023,6,"['0x7e41', '0x6b96']",繁殖,fán zhí,"to breed, to reproduce, to propagate,"
3024,6,"['0x53cd', '0x9a73']",反驳,fǎn bó,"to retort, to refute,"
3025,6,"['0x53cd', '0x5e38']",反常,fǎn cháng,"unusual, abnormal,"
3026,6,"['0x53cd', '0x5012']",反倒,fǎn dào,"but on the contrary, but expectedly,"
3027,6,"['0x53cd', '0x52a8']",反动,fǎn dòng,"reaction, reactionary,"
3028,6,"['0x53cd', '0x611f']",反感,fǎn gǎn,"to be disgusted with, to dislike, bad reaction, antipathy,"
3029,6,"['0x53cd', '0x6297']",反抗,fǎn kàng,"to resist, to rebel,"
3030,6,"['0x53cd', '0x9988']",反馈,fǎn kuì,"to send back information, feedback,"
3031,6,"['0x53cd', '0x9762']",反面,fǎn miàn,"reverse side, backside, the other side (of a problem etc), negative, bad,"
3032,6,"['0x53cd', '0x5c04']",反射,fǎn shè,"to reflect, reflection (from a mirror etc), reflex (i.e. automatic reaction of organism),"
3033,6,"['0x53cd', '0x601d']",反思,fǎn sī,"to think back over sth, to review, to revisit, to rethink, reflection, reassessment,"
3034,6,"['0x53cd', '0x95ee']",反问,fǎn wèn,"to ask (a question) in reply, to answer a question with a question, rhetorical question,"
3035,6,"['0x53cd', '0x4e4b']",反之,fǎn zhī,"on the other hand..., conversely...,"
3036,6,"['0x8303', '0x7574']",范畴,fàn chóu,"category,"
3037,6,"['0x6cdb', '0x6ee5']",泛滥,fàn làn,"to be in flood, to overflow (the banks), to inundate, to spread unchecked,"
3038,6,"['0x8d29', '0x5356']",贩卖,fàn mài,"to sell, to peddle, to traffic,"
3039,6,"['0x65b9', '0x4f4d']",方位,fāng wèi,"direction, points of the compass, bearing, position, azimuth,"
3040,6,"['0x65b9', '0x8a00']",方言,fāng yán,"dialect,"
3041,6,"['0x65b9', '0x9488']",方针,fāng zhēn,"policy, guidelines, CL:個|个[gè],"
3042,6,"['0x9632', '0x5b88']",防守,fáng shǒu,"to defend, to protect (against),"
3043,6,"['0x9632', '0x75ab']",防疫,fáng yì,"disease prevention, protection against epidemic,"
3044,6,"['0x9632', '0x5fa1']",防御,fáng yù,"defense, to defend,"
3045,6,"['0x9632', '0x6b62']",防止,fáng zhǐ,"to prevent, to guard against, to take precautions,"
3046,6,"['0x9632', '0x6cbb']",防治,fáng zhì,"prevention and cure,"
3047,6,"['0x7eba', '0x7ec7']",纺织,fǎng zhī,"spinning and weaving,"
3048,6,"['0x653e', '0x5927']",放大,fàng dà,"to enlarge, to magnify,"
3049,6,"['0x653e', '0x5c04']",放射,fàng shè,"to radiate, radioactive,"
3050,6,"['0x653e', '0x624b']",放手,fàng shǒu,"to let go one's hold, to give up, to have a free hand,"
3051,6,"['0x975e', '0x6cd5']",非法,fēi fǎ,"illegal,"
3052,6,"['0x98de', '0x79bd', '0x8d70', '0x517d']",飞禽走兽,fēi qín zǒu shòu,"birds and animals, the beasts of the field and the birds of the air,"
3053,6,"['0x98de', '0x7fd4']",飞翔,fēi xiáng,"to fly,"
3054,6,"['0x98de', '0x8dc3']",飞跃,fēi yuè,"to leap,"
3055,6,"['0x80a5', '0x6c83']",肥沃,féi wò,"fertile,"
3056,6,"['0x8bfd', '0x8c24']",诽谤,fěi bàng,"to slander, to libel,"
3057,6,"['0x532a', '0x5f92']",匪徒,fěi tú,"gangster, bandit,"
3058,6,"['0x5e9f', '0x9664']",废除,fèi chú,"to abolish, to abrogate, to repeal,"
3059,6,"['0x5e9f', '0x589f']",废墟,fèi xū,"ruins,"
3060,6,"['0x6cb8', '0x817e']",沸腾,fèi téng,"boiling, ebullition,"
3061,6,"['0x5206', '0x8fa8']",分辨,fēn biàn,"to distinguish, to differentiate, to resolve,"
3062,6,"['0x5206', '0x5bf8']",分寸,fēn cùn,"propriety, appropriate behavior, proper speech or action, within the norms,"
3063,6,"['0x5206', '0x7ea2']",分红,fēn hóng,"a bonus, to award a bonus,"
3064,6,"['0x5206', '0x89e3']",分解,fēn jiě,"to resolve, to decompose, to break down,"
3065,6,"['0x5206', '0x88c2']",分裂,fēn liè,"to split up, to divide, to break up, fission, schism,"
3066,6,"['0x5206', '0x6ccc']",分泌,fēn mì,"to secrete, secretion,"
3067,6,"['0x5206', '0x660e']",分明,fēn míng,"clearly demarcated, sharply contoured,"
3068,6,"['0x5206', '0x6b67']",分歧,fēn qí,"difference (of opinion, position), bifurcation,"
3069,6,"['0x5206', '0x6563']",分散,fēn sàn,"to scatter, to disperse, to distribute,"
3070,6,"['0x5206', '0x624b']",分手,fēn shǒu,"to split up, to break up,"
3071,6,"['0x5429', '0x5490']",吩咐,fēn fù,"to tell, to instruct, to command,"
3072,6,"['0x575f', '0x5893']",坟墓,fén mù,"sepulcher, tomb,"
3073,6,"['0x7c89', '0x672b']",粉末,fěn mò,"fine powder, dust,"
3074,6,"['0x7c89', '0x8272']",粉色,fěn sè,"white, light pink, erotic, beautiful woman, powdered (with make-up),"
3075,6,"['0x7c89', '0x788e']",粉碎,fěn suì,"to crush, to smash, to shatter,"
3076,6,"['0x5206', '0x91cf']",分量,fèn liang,"quantity, weight, measure,"
3077,6,"['0x98ce', '0x66b4']",风暴,fēng bào,"storm, violent commotion, fig. crisis (e.g. revolution, uprising, financial crisis etc),"
3078,6,"['0x98ce', '0x5ea6']",风度,fēng dù,"elegance (for men), elegant demeanor, grace, poise,"
3079,6,"['0x98ce', '0x5149']",风光,fēng guāng,"scene, view, sight, landscape, to be well-regarded, to be well-off, grand (topolect), impressive (topolect),"
3080,6,"['0x98ce', '0x6c14']",风气,fēng qì,"general mood, atmosphere, common practice,"
3081,6,"['0x98ce', '0x8da3']",风趣,fēng qù,"humor, wit, humorous, witty,"
3082,6,"['0x98ce', '0x571f', '0x4eba', '0x60c5']",风土人情,fēng tǔ rén qíng,"local conditions and customs (idiom),"
3083,6,"['0x98ce', '0x5473']",风味,fēng wèi,"local flavor, local style,"
3084,6,"['0x5c01', '0x95ed']",封闭,fēng bì,"to seal, to close, to confine, to seal off, to close down, sealed, confined, closed, unreceptive,"
3085,6,"['0x5c01', '0x5efa']",封建,fēng jiàn,"system of enfeoffment, feudalism, feudal, feudalistic,"
3086,6,"['0x5c01', '0x9501']",封锁,fēng suǒ,"to blockade, to seal off,"
3087,6,"['0x4e30', '0x6ee1']",丰满,fēng mǎn,"ample, well developed, fully rounded,"
3088,6,"['0x4e30', '0x76db']",丰盛,fēng shèng,"rich, sumptuous,"
3089,6,"['0x4e30', '0x6536']",丰收,fēng shōu,"bumper harvest,"
3090,6,"['0x950b', '0x5229']",锋利,fēng lì,"sharp (e.g. knife blade), incisive, to the point,"
3091,6,['0x9022'],逢,féng,"to meet by chance, to come across, to fawn upon,"
3092,6,"['0x5949', '0x732e']",奉献,fèng xiàn,"to consecrate, to dedicate, to devote,"
3093,6,"['0x5426', '0x51b3']",否决,fǒu jué,"veto,"
3094,6,"['0x592b', '0x5987']",夫妇,fū fù,"a (married) couple, husband and wife, CL:對|对[duì],"
3095,6,"['0x592b', '0x4eba']",夫人,fū ren,"lady, madam, Mrs., CL:位[wèi],"
3096,6,"['0x6577', '0x884d']",敷衍,fū yǎn,"to elaborate (on a theme), to expound (the classics), perfunctory, to skimp, to botch, to do sth half-heartedly or just for show, barely enough to get by,"
3097,6,"['0x5e45', '0x5ea6']",幅度,fú dù,"width, extent, range, scope,"
3098,6,"['0x670d', '0x6c14']",服气,fú qì,"to be convinced, to accept,"
3099,6,"['0x7b26', '0x53f7']",符号,fú hào,"symbol, mark, sign,"
3100,6,"['0x798f', '0x5229']",福利,fú lì,"(material) welfare, well-being,"
3101,6,"['0x798f', '0x6c14']",福气,fú qi,"good fortune, to enjoy good fortune,"
3102,6,"['0x4fd8', '0x864f']",俘虏,fú lǔ,"captive,"
3103,6,"['0x8f90', '0x5c04']",辐射,fú shè,"radiation,"
3104,6,"['0x8150', '0x8d25']",腐败,fǔ bài,"corruption, to corrupt, to rot, rotten,"
3105,6,"['0x8150', '0x70c2']",腐烂,fǔ làn,"to rot, to become gangrenous,"
3106,6,"['0x8150', '0x8680']",腐蚀,fǔ shí,"corrosion, to corrode (degrade chemically), to rot, corruption,"
3107,6,"['0x8150', '0x673d']",腐朽,fǔ xiǔ,"rotten, decayed, decadent, degenerate,"
3108,6,"['0x8f85', '0x52a9']",辅助,fǔ zhù,"to assist, to aid, supplementary, auxiliary, subsidiary,"
3109,6,"['0x629a', '0x517b']",抚养,fǔ yǎng,"to foster, to bring up, to raise,"
3110,6,"['0x4fef', '0x4ef0']",俯仰,fǔ yǎng,"lowering and raising of the head, (fig.) small move, pitch (position angle),"
3111,6,"['0x5bcc', '0x88d5']",富裕,fù yù,"prosperous, well-to-do, well-off,"
3112,6,['0x526f'],副,fù,"secondary, auxiliary, deputy, assistant, vice-, abbr. for 副詞|副词 adverb, classifier for pairs, sets of things & facial expressions,"
3113,6,"['0x526f', '0x4f5c', '0x7528']",副作用,fù zuò yòng,"side effect,"
3114,6,"['0x8d1f', '0x62c5']",负担,fù dān,"burden, to bear a burden,"
3115,6,"['0x8986', '0x76d6']",覆盖,fù gài,"to cover,"
3116,6,"['0x9644', '0x548c']",附和,fù hè,"to parrot, to crib, to copy sb's action or words, to trail sb's footsteps, copy-cat,"
3117,6,"['0x9644', '0x4ef6']",附件,fù jiàn,"enclosure, attachment (email), appendix,"
3118,6,"['0x9644', '0x5c5e']",附属,fù shǔ,"subsidiary, auxiliary, attached, affiliated, subordinate, subordinating,"
3119,6,"['0x590d', '0x6d3b']",复活,fù huó,"resurrection,"
3120,6,"['0x590d', '0x5174']",复兴,fù xīng,"to revive, to rejuvenate,"
3121,6,"['0x8179', '0x6cfb']",腹泻,fù xiè,"diarrhea, to have the runs,"
3122,6,"['0x8d4b', '0x4e88']",赋予,fù yǔ,"to assign, to entrust (a task), to give, to bestow,"
3123,6,"['0x6539', '0x826f']",改良,gǎi liáng,"to improve,"
